#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
31,MR.GAMING@UCahtV63pFxPdMRQ_nXYPEYA,587K,-,Czech Republic,,176.1K
32,Milion Plus@UCtcmk_u_kqeibnHqxTSNitg,583K,-,Czech Republic,,174.9K
33,atomic marvel@UC1xaOCNeVbO9q9cnoCA-XaA,579K,45.10%,Czech Republic,,173.7K
35,AtiShow@UClDKwR-G0jjwEBntb7Cf5Vw,563K,-,Czech Republic,,168.9K
36,Slza@UCNVzHOsiCLrov0QHxbh6q1g,561K,0.90%,Czech Republic,,168.3K
37,Jmenuju Se Martin@UC-mbc0wxwsEwySQX9sZTGoQ,543K,1%,Czech Republic,,162.9K
38,Alexander Zakshevsky@UCye3lZN9TxNUECxz990-Abg,520K,-,Czech Republic,,156K
39,FILMY ČESKY@UCoemQ3xsaVdIYtnh2B7K3Eg,506K,-,Czech Republic,,151.8K
40,Hendysovo Doupě@UCyVSBn3SrSVEFqlt7kdLIoQ,504K,0.20%,Czech Republic,,151.2K
41,КАК БЫТЬ ЗДОРОВЫМ@UCZE5ZWA4krCnB1WodRf59UQ,498K,-,Czech Republic,,149.4K
42,Smusa@UCcbhPRpAKqY_NK2mvkn_S7Q,488K,9.70%,Czech Republic,,146.4K
43,SmusaGames@UCnivDC4ZB3wSVJOizdJS1QA,485K,0.90%,Czech Republic,,145.5K
44,Anna Sulc@UCvnvTTcWd-LD_XUSWJxRBGA,481K,1.60%,Czech Republic,,144.3K
45,Blakkwood Records@UCzgEz91tpTTL-JQFDAYkapw,478K,-,Czech Republic,,143.4K
46,Aik & Johanka@UCmZdjVse4X2fGwUrIT1cnog,478K,1.50%,Czech Republic,,143.4K
47,Frenchcore Hardcore@UC5Rn3fL-fRgGDKlMxLpyoQg,471K,-,Czech Republic,,141.3K
48,DJ Wich@UCAPuqmV3qYBTv0_hkvs6xgg,446K,-,Czech Republic,,133.8K
49,Stay12@UC8IR2vnwSzlj1pnSoCTre6w,445K,4.50%,Czech Republic,,133.5K
50,nadjib haffaf@UCCtm3fBa8-cZbbuoPAwYcVg,443K,-,Czech Republic,,132.9K
51,Kluci z Prahy@UCbpMZ4ri2yh342M6dH1GFIg,437K,4%,Czech Republic,,131.1K
52,Mr. Michal@UCYsu4DxiosXPbvZycfiQZ2g,437K,-,Czech Republic,,131.1K
53,EvilBender47@UCXmvY3CX7eV-eHdxJzljaTQ,436K,3.40%,Czech Republic,,130.8K
54,Vidrail@UC833OunJ6iN8MblXeHZdYhw,431K,-,Czech Republic,,129.3K
55,Pat a Mat@UCnyAjQxYnSB9n3G2UrpD4kA,429K,-,Czech Republic,,128.7K
56,Crafák@UC2u1zG0YhjwoB7z2XpdSisQ,419K,-,Czech Republic,,125.7K
57,Adam Ondra@UC8eNyF9eYwgr_K-Nl4gSHWw,419K,1.10%,Czech Republic,,125.7K
58,PROJEKT CREEP@UCl-Zvy-DJJ6M3JVmXdO2Jzw,415K,7.40%,Czech Republic,,124.5K
59,Alex Moukala Music@UCEKRfoZ5t1VBdWfn9k6UgXw,412K,4.10%,Czech Republic,,123.6K
60,Bé Hà Stylewithme@UCS-9FDYfiIQ93BLhVr_2AtQ,406K,0.90%,Czech Republic,,121.8K
61,GetTheLouk@UCusDN8oD4dQx8LfCw7B9hrw,403K,0.80%,Czech Republic,,120.9K
62,Sterakdary@UCYsS3SON69FIr-K3E3Czvpw,386K,0.20%,Czech Republic,,115.8K
63,BESPREDEL@UCe0v5eCjYTrVkpv5_H-YDBg,380K,0.50%,Czech Republic,,114K
64,Carrie Kirsten@UCwpmxAwSLINKmz_OZDroZxQ,369K,1.10%,Czech Republic,,110.7K
65,MaTTem@UC3IppMXDBerofqw3QJ4v8Pg,365K,3.40%,Czech Republic,,109.5K
66,Svět podle Katky@UCDeqopaBWkRWuw0Pbi8o-Xw,362K,1.50%,Czech Republic,,108.6K
67,FactsForYou@UC2EsCeQtqfOOSTbq0hjywaw,360K,0.20%,Czech Republic,,108K
68,SCS Software@UCb9XDB0X13EEqUqCSsOhonQ,358K,-,Czech Republic,,107.4K
69,MarleyKKT@UCE7PlKD1JpFvmiDOy7fhOkA,346K,-,Czech Republic,,103.8K
70,Attack@UCMxStfOxJOaE-RRkjFwUQtg,346K,2.30%,Czech Republic,,103.8K
71,JanBendigOfficial@UCCd3EhLVX0eem38v0ef9ONQ,338K,-,Czech Republic,,101.4K
72,Veronika Spurná@UCJhCl2hxGtlZ6HUrSf0-GKg,337K,0.40%,Czech Republic,,101.1K
73,TOP veci do 2 minut@UCDwQXcXjhA3WNvYDx7Z5hYw,329K,1.50%,Czech Republic,,98.7K
74,Alkanhraje@UCnhzkAZnYO3tAV37C7no4ow,329K,1.10%,Czech Republic,,98.7K
75,Prague Cello Quartet@UC9sPNbXInKkYb4_wu9wRcdA,326K,-,Czech Republic,,97.8K
76,N3roGames@UCgf8oM-FkPzgSVOhIL-0hCw,324K,0.90%,Czech Republic,,97.2K
77,PIERRE XO@UC6diDF6yyJ6EPVG80bMzTKw,321K,1.60%,Czech Republic,,96.3K
78,TOP Topics@UCj3DRX5dqrKuo-Lrr6ziPyQ,318K,0.10%,Czech Republic,,95.4K
79,tynikdy@UCfDtYv8FeHwhhFz0rJl64qg,316K,-,Czech Republic,,94.8K
80,Pokáčovo Kanál@UCDEW2psJxrMGqvjv-xTSspQ,316K,1.70%,Czech Republic,,94.8K
81,RoUmEan Channel@UCNrOkGWD5QZMqzVLv-7kfBQ,316K,-,Czech Republic,,94.8K
82,Johnny Valda@UCiigYuoHPr55hRYotxCdq2Q,311K,-,Czech Republic,,93.3K
83,Brain Blaze@UCYY5GWf7MHFJ6DZeHreoXgw,308K,1.40%,Czech Republic,,92.4K
84,The Casual Criminalist@UCp1tsmksyf6TgKFMdt8-05Q,301K,1.50%,Czech Republic,,90.3K
85,Jon Marianek@UCeI5j-iTz9wQ69l_c4VAz_Q,301K,4.10%,Czech Republic,,90.3K
86,diradosveta@UC_usBQKaUHqYenD8yF3kI9A,299K,14.90%,Czech Republic,,89.7K
87,rady@UCPohUg61pVkxKp-EoSBzoWg,298K,3.10%,Czech Republic,,89.4K
88,Boris GameX@UC4-XstAFu5CFCNlcqtgCFrQ,297K,-,Czech Republic,,89.1K
89,Dadusak@UCzsef5IfHJXLHhFcLW7m06w,295K,-,Czech Republic,,88.5K
90,L E A@UCOwFcnmZN80X2owThSlLcfg,292K,0.30%,Czech Republic,,87.6K
91,Štístko a Poupěnka@UCjw-nqH2eQem8cZg1JvtVHg,292K,-,Czech Republic,,87.6K
92,Totalfilm.cz@UCrnvx9KJ8v63SODw082L3Ww,291K,-,Czech Republic,,87.3K
93,ZEK@UC4Yd587CRm_FyksiGecpx1A,288K,0.40%,Czech Republic,,86.4K
94,Ondra Vlček@UCdHS3OeeodrFwAZvbLIxHVA,286K,0.30%,Czech Republic,,85.8K
95,Disney Channel Česká republika@UCo3yyG7QI-ClDUePMMKojaQ,283K,-,Czech Republic,,84.9K
96,Tvoje tvář má známý hlas@UCRWAIHwcIIhlTeib-Pa24KA,282K,0.20%,Czech Republic,,84.6K
97,Алексей Ворон@UC1yf6M6UBEdbs-NiGZHG7QA,280K,0.20%,Czech Republic,,84K
98,SýrYakari@UCeT4d9P-M4O35E8Lzv38LCw,280K,-,Czech Republic,,84K
99,Lime Apple Kids@UC1OzBri7GVwuoi2GK79gDpw,274K,-,Czech Republic,,82.2K
100,JenTheGayLord@UCbzKqKrsAK71dwHuSqCgwQQ,272K,-,Czech Republic,,81.6K
101,Jakub Destro@UC31CC1IJ4SYSqUgbMM7QZmQ,272K,0.70%,Czech Republic,,81.6K
