#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,total_subscribers,total_views,total_videos,Engagement_Rate,Monthly_Views,Monthly _Subscriber _Growth (%),Absolute_Monthly _Subscriber _Growth
81,RoUmEan Channel@UCNrOkGWD5QZMqzVLv-7kfBQ,316K,-,Czech Republic,,94.8K,311000,216147937,685,0.0632,12600,0,0
82,Johnny Valda@UCiigYuoHPr55hRYotxCdq2Q,311K,-,Czech Republic,,93.3K,307000,49078429,335,0.0348,2800,-0.0021,-636
83,Brain Blaze@UCYY5GWf7MHFJ6DZeHreoXgw,308K,1.40%,Czech Republic,,92.4K,467000,120291693,693,0.0661,81700,0.0051,2400
84,The Casual Criminalist@UCp1tsmksyf6TgKFMdt8-05Q,301K,1.50%,Czech Republic,,90.3K,612000,111493068,399,0.0471,129900,0.0058,3500
85,Jon Marianek@UCeI5j-iTz9wQ69l_c4VAz_Q,301K,4.10%,Czech Republic,,90.3K,1010000,288695402,990,0.0555,214600,0.0111,11100
86,diradosveta@UC_usBQKaUHqYenD8yF3kI9A,299K,14.90%,Czech Republic,,89.7K,340000,34380231,33,0.0557,225700,0,0
87,rady@UCPohUg61pVkxKp-EoSBzoWg,298K,3.10%,Czech Republic,,89.4K,325000,68802943,580,0.0507,124300,0.0002,77
88,Boris GameX@UC4-XstAFu5CFCNlcqtgCFrQ,297K,-,Czech Republic,,89.1K,317000,206785740,125,0.0054,7500,0.0013,398
89,Dadusak@UCzsef5IfHJXLHhFcLW7m06w,295K,-,Czech Republic,,88.5K,475000,126371511,108,0.0226,37600,0,0
90,L E A@UCOwFcnmZN80X2owThSlLcfg,292K,0.30%,Czech Republic,,87.6K,299000,185134219,1081,0.0392,8900,0.0001,31
91,Štístko a Poupěnka@UCjw-nqH2eQem8cZg1JvtVHg,292K,-,Czech Republic,,87.6K,384000,602020437,160,0.0009,37400,0.0057,2200
92,Totalfilm.cz@UCrnvx9KJ8v63SODw082L3Ww,291K,-,Czech Republic,,87.3K,324000,371188763,7812,0.0228,12500,0.0046,1500
93,ZEK@UC4Yd587CRm_FyksiGecpx1A,288K,0.40%,Czech Republic,,86.4K,326000,109830032,1115,0.0486,30300,0.0028,919
94,Ondra Vlček@UCdHS3OeeodrFwAZvbLIxHVA,286K,0.30%,Czech Republic,,85.8K,293000,98788317,695,0.0447,14200,0.0009,251
95,Disney Channel Česká republika@UCo3yyG7QI-ClDUePMMKojaQ,283K,-,Czech Republic,,84.9K,348000,210787493,2173,0.0065,3900,0.0014,476
96,Tvoje tvář má známý hlas@UCRWAIHwcIIhlTeib-Pa24KA,282K,0.20%,Czech Republic,,84.6K,284000,282422595,1004,0.012,16500,0,0
97,Алексей Ворон@UC1yf6M6UBEdbs-NiGZHG7QA,280K,0.20%,Czech Republic,,84K,416000,72827423,5001,0.1285,7200,0.0081,3300
98,SýrYakari@UCeT4d9P-M4O35E8Lzv38LCw,280K,-,Czech Republic,,84K,356000,91394495,213,0.0545,197700,0.0063,2200
99,Lime Apple Kids@UC1OzBri7GVwuoi2GK79gDpw,274K,-,Czech Republic,,82.2K,258000,14381,71,0.0283,74,0,0
100,JenTheGayLord@UCbzKqKrsAK71dwHuSqCgwQQ,272K,-,Czech Republic,,81.6K,263000,145042735,165,0.0226,0,0,0
101,Jakub Destro@UC31CC1IJ4SYSqUgbMM7QZmQ,272K,0.70%,Czech Republic,,81.6K,388000,135114491,1629,0.0675,78100,0.0082,3200
